tahun,kota,kecamatan,kelurahan,jumlah
2022,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,2532
2022,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,3437
2022,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,1645
2022,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,1498
2022,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,3594
2022,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,4478
2022,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,16731
2022,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,10653
2022,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,8505
2022,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,10760
2022,JAKARTA SELATAN,CILANDAK,PONDOK LABU,14995
2022,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,13478
2022,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,16758
2022,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,28080
2022,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,25983
2022,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,22529
2022,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,20369
2022,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,14020
2022,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,17604
2022,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,2929
2022,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,5459
2022,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,44
2022,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,5416
2022,JAKARTA SELATAN,KEBAYORAN BARU,PULO,751
2022,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,1833
2022,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,234
2022,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,341
2022,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,11244
2022,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,11998
2022,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,8950
2022,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,9372
2022,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,10172
2022,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,11659
2022,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,10269
2022,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,7799
2022,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,11147
2022,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,21957
2022,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,17780
2022,JAKARTA SELATAN,PANCORAN,CIKOKO,4807
2022,JAKARTA SELATAN,PANCORAN,DUREN TIGA,14268
2022,JAKARTA SELATAN,PANCORAN,KALIBATA,25114
2022,JAKARTA SELATAN,PANCORAN,PANCORAN,10569
2022,JAKARTA SELATAN,PANCORAN,PENGADEGAN,10928
2022,JAKARTA SELATAN,PANCORAN,RAWAJATI,8250
2022,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,6026
2022,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,12158
2022,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,22300
2022,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,6434
2022,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,15559
2022,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,19421
